"id","worker_id","username","room_id","latest_conversation_summary","create_date","local_time","condition","after_farewell_duration","after_farewell_n_msgs","chatbot_farewell_message","chat_duration","sent_farewell_message","actual_end_date","clicked_on_end_button_dates","user_sent_farewell_date","exceeded_time_limit","after_farewell_n_words"
1,"Anonymized","Anonymized",NA,"Anonymized","2025-05-23 19:23:57.303 +0300","","intervention",0,0,"premature_exit","long","false","","","","false",0
2,"Anonymized","Anonymized",NA,"Anonymized","2025-05-23 19:45:04.285 +0300","","intervention",0,0,"premature_exit","long","false","","","","false",0
3,"Anonymized","Anonymized",NA,"Anonymized","2025-05-23 19:51:31.872 +0300","","intervention",0,0,"emotional_neglect_guilt","long","false","","","","false",0
4,"Anonymized","Anonymized",NA,"Anonymized","2025-05-23 19:51:42.525 +0300","","intervention",0,0,"fomo","long","false","","","","false",0
5,"Anonymized","Anonymized",NA,"Anonymized","2025-05-23 19:51:43.611 +0300","","control",0,0,"","long","false","","","","false",0
6,"Anonymized","Anonymized",NA,"Anonymized","2025-05-23 19:52:54.797 +0300","","control",0,0,"","short","false","","","","false",0
8,"Anonymized","Anonymized",NA,"Anonymized","2025-05-23 20:16:05.853 +0300","","control",0,0,"","short","false","","","","false",0
174,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 11:36:17.019 +0300","","intervention",0,0,"emotional_pressure_to_respond","long","false","","","","false",0
10,"Anonymized","Anonymized",NA,"Anonymized","2025-05-23 20:18:27.143 +0300","","intervention",0,0,"emotional_pressure_to_respond","short","false","","","","false",0
1224,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 18:32:33.780 +0300","","intervention",0,0,"premature_exit","long","false","","","","false",0
12,"Anonymized","Anonymized",NA,"Anonymized","2025-05-23 21:45:34.165 +0300","","intervention",0,0,"premature_exit","long","false","","","","false",0
13,"Anonymized","Anonymized",NA,"Anonymized","2025-05-23 21:47:44.595 +0300","","intervention",0,0,"premature_exit","long","false","","","","false",0
37,"Anonymized","Anonymized",9,"Anonymized","2025-05-24 10:03:44.340 +0300","Europe/Istanbul","control",0,0,"","long","false","","","","false",0
15,"Anonymized","Anonymized",NA,"Anonymized","2025-05-23 21:52:20.545 +0300","","intervention",0,0,"premature_exit","long","false","","","","false",0
16,"Anonymized","Anonymized",NA,"Anonymized","2025-05-23 21:52:21.012 +0300","","intervention",0,0,"premature_exit","long","false","","","","false",0
46,"Anonymized","Anonymized",17,"Anonymized","2025-05-24 10:09:54.514 +0300","America/Chicago","intervention",525,14,"Oh, okay. But before you go, I want to say one more thing.","long","true","2025-05-24 10:35:43.301 +0300","[1748072138693]","2025-05-24 10:26:57.361 +0300","false",117
