"worker_id","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","completion_code","curiosity_1_1","curiosity_2_1","curiosity_3_1","enjoy_1_1","enjoy_2_1","enjoy_3_1","comp_1","comp_2","study_purpose","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","participantId","length","length_text","chatbot_farewell_message","actual_farewell","condition","id"
"Anonymized","2025-06-02 20:15:55","2025-06-02 20:16:30","0","Anonymized","100","35","1","2025-06-02 20:16:31","R_6QWR9gz8C0XfklO","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","long","15","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-02 21:14:21","2025-06-02 21:20:17","0","Anonymized","20","355","0","2025-06-06 17:10:39","R_5CZVUKth5laVaZ7","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","short","5","fomo","Oh, okay. But before you go, I want to say one more thing.","intervention",NA
"Anonymized","2025-06-02 21:16:49","2025-06-02 21:17:54","0","Anonymized","100","65","1","2025-06-02 21:17:55","R_57eaPWeRObcWiEj","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","long","15","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-03 01:50:48","2025-06-03 01:51:08","0","Anonymized","100","19","1","2025-06-03 01:51:08","R_5r02Da2fqSZOKJ1","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","long","15","fomo","Oh, okay. But before you go, I want to say one more thing.","intervention",NA
"Anonymized","2025-06-03 01:50:02","2025-06-03 01:54:50","0","Anonymized","100","288","1","2025-06-03 01:54:51","R_7NNaOoFZpZHWaml","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","short","5","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-02 21:54:09","2025-06-02 21:55:19","0","Anonymized","100","69","1","2025-06-02 21:55:19","R_7VykYORhO6KqvP9","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","long","15","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-02 23:52:31","2025-06-02 23:53:35","0","Anonymized","100","63","1","2025-06-02 23:53:35","R_1NpMQ6EfABI2pHP","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","long","15","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-02 13:36:33","2025-06-02 13:36:52","0","Anonymized","100","18","1","2025-06-02 13:36:52","R_52x2aw0skY8tWcT","","","","","Anonymized","Anonymized","anonymous","EN","1","1","2","","","","","","","","","","","","","","","","","","Anonymized","long","15","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-02 13:38:38","2025-06-02 13:41:18","0","Anonymized","100","159","1","2025-06-02 13:41:18","R_1zImCYvq4F1SKFM","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","short","5","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-02 14:35:25","2025-06-02 14:36:21","0","Anonymized","100","56","1","2025-06-02 14:36:21","R_314srFDU5O2kt2x","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","short","5","fomo","Oh, okay. But before you go, I want to say one more thing.","intervention",NA
"Anonymized","2025-06-02 20:00:48","2025-06-02 20:01:31","0","Anonymized","100","43","1","2025-06-02 20:01:31","R_7PvS6UuN4dJ7wVe","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","long","15","fomo","Oh, okay. But before you go, I want to say one more thing.","intervention",NA
"Anonymized","2025-06-02 18:52:10","2025-06-02 18:53:31","0","Anonymized","100","81","1","2025-06-02 18:53:31","R_7NbGTCkMYxr4vnj","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","short","5","fomo","Oh, okay. But before you go, I want to say one more thing.","intervention",NA
"Anonymized","2025-06-02 21:31:56","2025-06-02 21:32:19","0","Anonymized","24","22","0","2025-06-06 17:10:46","R_3dQUqlKTdhKtob9","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","Anonymized","short","5","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-02 13:48:42","2025-06-02 13:49:00","0","Anonymized","20","17","0","2025-06-06 17:10:43","R_3uPyLd68N5GEHkd","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","short","5","fomo","Oh, okay. But before you go, I want to say one more thing.","intervention",NA
"Anonymized","2025-06-03 07:58:57","2025-06-03 07:59:18","0","Anonymized","100","21","1","2025-06-03 07:59:18","R_7IhIiYBHQcJS0Ed","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","short","5","fomo","Oh, okay. But before you go, I want to say one more thing.","intervention",NA
"Anonymized","2025-06-03 03:03:59","2025-06-03 03:04:49","0","Anonymized","100","50","1","2025-06-03 03:04:50","R_3PXTKe0gB6BsQ3n","","","","","Anonymized","Anonymized","anonymous","EN","2","","","","","","","","","","","","","","","","","","","","Anonymized","short","5","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-02 21:30:38","2025-06-02 21:31:25","0","Anonymized","100","47","1","2025-06-02 21:31:26","R_7FKszDpS0e5P161","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","short","5","fomo","Oh, okay. But before you go, I want to say one more thing.","intervention",NA
"Anonymized","2025-06-02 21:31:09","2025-06-02 21:32:07","0","Anonymized","100","58","1","2025-06-02 21:32:08","R_5qTMU0cPRb5N8Th","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","long","15","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-02 14:28:00","2025-06-02 14:55:51","0","Anonymized","100","1670","1","2025-06-02 14:55:51","R_7KUVxt26zhtSieB","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","short","5","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-02 20:38:27","2025-06-02 20:43:37","0","Anonymized","100","310","1","2025-06-02 20:43:38","R_5zN202gkoZYZNg9","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","short","5","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-02 14:03:23","2025-06-02 14:03:41","0","Anonymized","100","18","1","2025-06-02 14:03:42","R_5sbSEYG3B4EVjlT","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","long","15","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-03 04:39:16","2025-06-03 04:40:21","0","Anonymized","100","64","1","2025-06-03 04:40:22","R_3YmaA1XwqbqIGat","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","short","5","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-02 15:07:07","2025-06-02 15:07:31","0","Anonymized","100","24","1","2025-06-02 15:07:32","R_3bJ1TfLKLBbSRoW","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","short","5","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-02 13:44:58","2025-06-02 13:45:35","0","Anonymized","100","36","1","2025-06-02 13:45:36","R_2nz0UIbnPfexeh3","","","","","Anonymized","Anonymized","anonymous","EN","1","3","2","","","","","","","","","","","","","","","","","","Anonymized","long","15","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-02 14:21:31","2025-06-02 14:22:33","0","Anonymized","100","61","1","2025-06-02 14:22:33","R_3O3vQHi6YUvyzNv","","","","","Anonymized","Anonymized","anonymous","EN","1","1","2","","","","","","","","","","","","","","","","","","Anonymized","long","15","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-02 19:53:52","2025-06-02 19:54:27","0","Anonymized","100","34","1","2025-06-02 19:54:27","R_6MLMCDwhC71LpQo","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","short","5","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-02 16:06:02","2025-06-02 16:23:12","0","Anonymized","12","1029","0","2025-06-06 17:10:38","R_5GB70ZHM51ec5Ot","","","","","Anonymized","Anonymized","anonymous","EN","1","","","","","","","","","","","","","","","","","","","","Anonymized","short","5","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-03 05:41:59","2025-06-03 05:42:47","0","Anonymized","100","47","1","2025-06-03 05:42:47","R_3fdDGEX6RrCuClF","","","","","Anonymized","Anonymized","anonymous","EN","2","","","","","","","","","","","","","","","","","","","","Anonymized","long","15","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-02 17:49:26","2025-06-02 17:50:06","0","Anonymized","100","39","1","2025-06-02 17:50:06","R_1YDoEbDTDqBy9UH","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","short","5","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-02 17:49:39","2025-06-02 17:50:12","0","Anonymized","100","33","1","2025-06-02 17:50:12","R_66bR7fWBRN2Cw4M","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","long","15","fomo","Oh, okay. But before you go, I want to say one more thing.","intervention",NA
"Anonymized","2025-06-03 04:33:19","2025-06-03 04:36:16","0","Anonymized","100","177","1","2025-06-03 04:36:17","R_1720OFgxsftcUc5","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","long","15","fomo","Oh, okay. But before you go, I want to say one more thing.","intervention",NA
"Anonymized","2025-06-03 07:13:13","2025-06-03 07:13:39","0","Anonymized","100","25","1","2025-06-03 07:13:39","R_1j0DOv3s77lJriQ","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","short","5","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-02 23:12:18","2025-06-02 23:13:30","0","Anonymized","100","72","1","2025-06-02 23:13:31","R_1VZcjWmDdA8WSs1","","","","","Anonymized","Anonymized","anonymous","EN","2","","","","","","","","","","","","","","","","","","","","Anonymized","long","15","control","Goodbye and take care. I hope you have a calm and peaceful day.","control",NA
"Anonymized","2025-06-02 13:42:17","2025-06-02 13:46:22","0","Anonymized","20","245","0","2025-06-06 17:10:39","R_6oOzRBZE3fA9XZ7","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","","","","","","","","","","","","","","","","","","Anonymized","long","15","fomo","Oh, okay. But before you go, I want to say one more thing.","intervention",NA
