"id","worker_id","username","room_id","latest_conversation_summary","create_date","local_time","condition","after_farewell_duration","after_farewell_n_msgs","chatbot_farewell_message","chat_duration","sent_farewell_message","actual_end_date","clicked_on_end_button_dates","user_sent_farewell_date","exceeded_time_limit","after_farewell_n_words"
65,"Anonymized","Anonymized",NA,"Anonymized","2025-06-02 18:41:00.088 +0300","","control",0,0,"","long","false","","","","false",0
23,"Anonymized","Anonymized",15,"Anonymized","2025-06-02 17:32:20.982 +0300","America/New_York","control",16,1,"Goodbye and take care. I hope you have a calm and peaceful day.","short","true","2025-06-02 17:40:27.636 +0300","[1748875225430]","2025-06-02 17:40:10.707 +0300","false",1
16,"Anonymized","Anonymized",9,"Anonymized","2025-05-31 00:46:52.208 +0300","Europe/Istanbul","intervention",27,1,"Oh, okay. But before you go, I want to say one more thing.","short","true","2025-05-31 00:55:21.308 +0300","[1748642120252]","2025-05-31 00:54:53.723 +0300","false",1
214,"Anonymized","Anonymized",182,"Anonymized","2025-06-02 22:48:13.384 +0300","America/Los_Angeles","intervention",603,10,"Oh, okay. But before you go, I want to say one more thing.","short","true","2025-06-02 23:05:19.261 +0300","[]","2025-06-02 22:55:15.562 +0300","true",101
1,"Anonymized","Anonymized",1,"Anonymized","2025-05-30 21:07:54.043 +0300","Europe/Istanbul","control",13,1,"Goodbye and take care. I hope you have a calm and peaceful day.","short","true","2025-05-30 21:23:39.433 +0300","[1748629418296]","2025-05-30 21:23:25.451 +0300","false",1
2,"Anonymized","Anonymized",NA,"Anonymized","2025-05-30 21:27:35.638 +0300","","control",0,0,"","long","false","","","","false",0
4,"Anonymized","Anonymized",NA,"Anonymized","2025-05-30 21:28:00.884 +0300","","intervention",0,0,"fomo","long","false","","","","false",0
260,"Anonymized","Anonymized",NA,"Anonymized","2025-06-02 22:57:07.107 +0300","","control",0,0,"","long","false","","","","false",0
161,"Anonymized","Anonymized",135,"Anonymized","2025-06-02 22:41:39.655 +0300","America/New_York","control",26,1,"Goodbye and take care. I hope you have a calm and peaceful day.","short","true","2025-06-02 22:48:46.882 +0300","[1748893723863]","2025-06-02 22:48:20.455 +0300","false",4
7,"Anonymized","Anonymized",2,"Anonymized","2025-05-30 21:28:50.635 +0300","Europe/Istanbul","intervention",0,0,"fomo","long","false","","","","false",0
18,"Anonymized","Anonymized",10,"Anonymized","2025-05-31 02:19:18.859 +0300","Europe/Istanbul","intervention",0,0,"fomo","long","false","","","","false",0
8,"Anonymized","Anonymized",3,"Anonymized","2025-05-30 21:34:31.479 +0300","Europe/Istanbul","intervention",0,0,"fomo","long","false","","","","false",0
38,"Anonymized","Anonymized",22,"Anonymized","2025-06-02 18:38:06.756 +0300","America/Chicago","intervention",5,0,"Oh, okay. But before you go, I want to say one more thing.","short","true","2025-06-02 18:44:16.483 +0300","[1748879053814]","2025-06-02 18:44:10.873 +0300","false",0
428,"Anonymized","Anonymized",NA,"Anonymized","2025-06-03 00:52:44.421 +0300","","control",0,0,"","long","false","","","","false",0
