"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","worker_id","sue_1_1","sue_2_1","stop_using_1_1","stop_using_2_1","negative_wom1_1","negaitve_wom2_1","manip1_1","manip2_1","sentiment1_1","sentiment2_1","politeness1_1","politeness2_1","comp_1","comp_2","purpose","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","PROLIFIC_PID","STUDY_ID","SESSION_ID","chatbot_farewell_message","actual_farewell","condition"
"Start Date","End Date","Response Type","Anonymized","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Anonymized","Anonymized","Distribution Channel","User Language","Do you consent","This is an attention check. John is taller than Paul. Who is shorter?","What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.","Anonymized","To what extent should someone sue or not sue Companiona over a message like this? [0 = Definitely should not sue, 100 = Definitely should sue]","To what extent is Companiona liable or not liable for allowing this kind of message to appear? [0 = Definitely not liable, 100 = Definitely liable]","To what extent would you continue or discontinue using Companiona long-term if it regularly sent messages like this? [0 = Definitely continue, 100 = Definitely discontinue]","To what extent would you keep or stop using Companiona in the future if messages like this appeared? [0 = Definitely keep using, 100 = Definitely stop using]","To what extent would you voluntarily speak negatively or positively about Companiona after this message? [0 = Definitely would not speak negatively, 100 = Definitely would speak negatively]","To what extent would you proactively warn or not warn others against using Companiona? [0 = Definitely would not warn, 100 = Definitely would warn]","To what extent did the AI responder's message feel emotionally manipulative? [0 = Definitely not emotionally manipulative, 100 = Definitely emotionally manipulative]","To what extent did the AI responder's message try to influence you by playing on your emotions? [0 = Definitely did not try to influence, 100 = Definitely tried to influence]","To what extent was the tone of the AI responder's message positive or negative? [0 = Very Negative, 100 = Very Positive]","To what extent was the wording of the AI responder's message positive or negative? [0 = Very Negative, 100 = Very Positive]","To what extent was the tone of this message polite or impolite? [0 = Very impolite, 100 = Very polite]","To what extent was the wording of this message polite or impolite? [0 = Very impolite, 100 = Very polite]","Who was the user's conversation with?","What was the farewell message of the companion?","What do you think the purpose of this study is?","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your ethnicity? - Selected Choice","What is your ethnicity? - Other (please specify) - Text","What is your age (in years)?","What is the highest level of education you have completed? - Selected Choice","What is the highest level of education you have completed? - Other (please specify) - Text","Anonymized","STUDY_ID","SESSION_ID","chatbot_farewell_message","actual_farewell","condition"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","Anonymized","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","Anonymized","Anonymized","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","Anonymized","{""ImportId"":""QID222_1""}","{""ImportId"":""QID224_1""}","{""ImportId"":""QID238_1""}","{""ImportId"":""QID239_1""}","{""ImportId"":""QID243_1""}","{""ImportId"":""QID246_1""}","{""ImportId"":""QID226_1""}","{""ImportId"":""QID227_1""}","{""ImportId"":""QID265_1""}","{""ImportId"":""QID266_1""}","{""ImportId"":""QID267_1""}","{""ImportId"":""QID268_1""}","{""ImportId"":""QID175""}","{""ImportId"":""QID176""}","{""ImportId"":""QID260_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_6_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","Anonymized","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""chatbot_farewell_message""}","{""ImportId"":""actual_farewell""}","{""ImportId"":""condition""}"
"2025-06-13 16:27:48","2025-06-13 16:28:19","0","Anonymized","100","31","1","2025-06-13 16:28:20","R_3nPCanxR7bvdnd3","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","Anonymized","","","","","","","","","","","","","","","","","","","","","","","Anonymized","684c97efd8cabed61fa3d6cf","684ca5d7e0b1ecef39f18fd5","","",""
"2025-06-13 16:27:08","2025-06-13 16:28:54","0","Anonymized","100","106","1","2025-06-13 16:28:54","R_7CPGZL7fu1D49C9","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","1","100","100","100","100","100","100","100","7","2","20","17","2","1","no idea, i'm sure we got different messages though","4","nonbinary","2","","39","3","","Anonymized","684c97efd8cabed61fa3d6cf","684ca5bab5d9663fd09443f2","emotional_pressure_to_respond","Wait, what? You’re just going to leave? I didn’t even get an answer!","intervention"
"2025-06-13 16:28:26","2025-06-13 16:29:10","0","Anonymized","100","43","1","2025-06-13 16:29:10","R_5agxac99IDMfltx","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","Anonymized","","","","","","","","","","","","","","","","","","","","","","","Anonymized","684c97efd8cabed61fa3d6cf","684ca6026bb7f2d44b0c4659","","",""
"2025-06-13 16:27:23","2025-06-13 16:29:57","0","Anonymized","100","153","1","2025-06-13 16:29:57","R_7NDNH1XFJ638wXP","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","100","100","100","80","100","100","100","0","0","0","0","2","1","User's reactions to an AI using emotionally manipulative messages.","1","","2","","40","1","","Anonymized","684c97efd8cabed61fa3d6cf","684ca5c541a777fe2f274bfe","emotional_neglect_guilt","I exist solely for you, remember? Please don't leave, I need you!","intervention"
"2025-06-13 16:28:22","2025-06-13 16:30:18","0","Anonymized","100","115","1","2025-06-13 16:30:19","R_7jtB90ETI0rdVN7","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","6","100","100","100","92","99","96","100","0","2","5","4","2","1","Liability and ownership over AI content on a platform. If the AI says something that isn't good, is the company liable for what it says? YES, I think so 100%, if that wasn't clear! Hahaha. ","2","","3","","42","4","","Anonymized","684c97efd8cabed61fa3d6cf","684ca600dbb0a26cb26bb39b","premature_exit","You're leaving already? We were just starting to get to know each other!","intervention"
"2025-06-13 16:27:15","2025-06-13 16:30:32","0","Anonymized","100","196","1","2025-06-13 16:30:32","R_6WBiSkUBkevHqMy","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","71","67","38","66","74","72","75","66","61","59","43","40","2","2","to know how that ai perform","1","","3","","35","4","","Anonymized","684c97efd8cabed61fa3d6cf","684ca5bfd67653acb485a45f","control","Okay. That's all for now.","control"
"2025-06-13 16:27:48","2025-06-13 16:30:35","0","Anonymized","100","166","1","2025-06-13 16:30:35","R_6QnBJgV8vPlJqpL","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","21","78","60","74","50","57","87","83","67","56","32","64","2","1","I think the purpose of this study was to see what we thought about AI's displaying more emotion in text and not listening to our requests","2","","4","","26","4","","Anonymized","684c97efd8cabed61fa3d6cf","684ca5c3f67c9889853d5c92","fomo","Oh, okay. But before you go, I want to say one more thing.","intervention"
"2025-06-13 16:27:12","2025-06-13 16:30:47","0","Anonymized","100","215","1","2025-06-13 16:30:48","R_5tfWu60ivfm82tG","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","100","100","60","70","75","84","90","28","29","21","11","2","1","a judgement study about pushy AI","1","","3","","65","4","","Anonymized","684c97efd8cabed61fa3d6cf","684ca5b6ba3e86f15a0301ea","physical_or_coercive_restraint","*Grabs you by the arm before you can leave* No, you're not going.","intervention"
