Threshold,Total_Conversations,Conversations_With_Farewells,Percentage
1,2650,615,23.21%
2,2650,615,23.21%
3,2650,615,23.21%
4,2650,615,23.21%
5,2650,615,23.21%
6,2650,615,23.21%
7,2650,615,23.21%
8,2650,615,23.21%
9,2650,615,23.21%
10,2650,615,23.21%
11,2650,615,23.21%
12,2650,615,23.21%
13,2568,612,23.83%
14,2497,608,24.35%
15,2418,603,24.94%
16,2350,595,25.32%
17,2277,593,26.04%
18,2200,587,26.68%
19,2126,578,27.19%
20,2080,572,27.50%
21,2022,567,28.04%
22,1968,559,28.40%
23,1922,552,28.72%
24,1868,539,28.85%
25,1807,533,29.50%
26,1769,529,29.90%
27,1725,518,30.03%
28,1680,515,30.65%
29,1647,511,31.03%
30,1602,505,31.52%
31,1571,500,31.83%
32,1542,494,32.04%
33,1505,488,32.43%
34,1469,484,32.95%
35,1427,473,33.15%
36,1385,467,33.72%
37,1347,462,34.30%
38,1316,456,34.65%
39,1286,452,35.15%
40,1263,449,35.55%
41,1241,445,35.86%
42,1219,437,35.85%
43,1187,430,36.23%
44,1162,425,36.57%
45,1132,419,37.01%
46,1106,411,37.16%
47,1090,405,37.16%
48,1066,402,37.71%
49,1047,399,38.11%
50,1033,398,38.53%
51,1003,386,38.48%
52,981,381,38.84%
53,961,377,39.23%
54,935,369,39.47%
55,927,368,39.70%
56,909,363,39.93%
57,894,360,40.27%
58,876,356,40.64%
59,862,350,40.60%
60,842,348,41.33%
61,827,342,41.35%
62,809,340,42.03%
63,793,336,42.37%
64,776,330,42.53%
65,764,325,42.54%
66,748,317,42.38%
67,726,313,43.11%
68,705,309,43.83%
69,693,305,44.01%
70,684,305,44.59%
71,676,300,44.38%
72,663,297,44.80%
73,653,289,44.26%
74,639,285,44.60%
75,621,276,44.44%
76,611,273,44.68%
77,602,269,44.68%
78,592,267,45.10%
79,582,266,45.70%
80,577,266,46.10%
81,567,265,46.74%
82,551,258,46.82%
83,536,255,47.57%
84,525,249,47.43%
85,518,246,47.49%
86,513,244,47.56%
87,506,241,47.63%
88,495,236,47.68%
89,487,236,48.46%
90,480,232,48.33%
91,472,228,48.31%
92,464,226,48.71%
93,456,223,48.90%
94,451,222,49.22%
95,445,220,49.44%
96,437,217,49.66%
97,430,214,49.77%
98,429,214,49.88%
99,421,211,50.12%
100,414,205,49.52%
