Threshold,Total_Conversations,Conversations_With_Farewells,Percentage
1,2198,259,11.78%
2,2198,259,11.78%
3,2192,259,11.82%
4,2191,259,11.82%
5,2183,259,11.86%
6,2168,259,11.95%
7,2140,257,12.01%
8,2088,255,12.21%
9,2025,251,12.40%
10,1941,245,12.62%
11,1849,238,12.87%
12,1738,231,13.29%
13,1624,217,13.36%
14,1473,200,13.58%
15,1347,182,13.51%
16,1206,171,14.18%
17,1094,152,13.89%
18,958,134,13.99%
19,847,116,13.70%
20,746,102,13.67%
21,660,92,13.94%
22,581,82,14.11%
23,506,72,14.23%
24,434,63,14.52%
25,374,54,14.44%
26,317,49,15.46%
27,275,43,15.64%
28,238,37,15.55%
29,205,32,15.61%
30,171,29,16.96%
31,137,23,16.79%
32,116,20,17.24%
33,105,17,16.19%
34,87,14,16.09%
35,77,11,14.29%
36,65,8,12.31%
37,54,6,11.11%
38,50,6,12.00%
39,48,5,10.42%
40,40,4,10.00%
41,34,3,8.82%
42,29,3,10.34%
43,23,3,13.04%
44,20,3,15.00%
45,18,2,11.11%
46,17,2,11.76%
47,14,2,14.29%
48,13,2,15.38%
49,12,2,16.67%
50,11,1,9.09%
51,10,1,10.00%
52,8,1,12.50%
53,8,1,12.50%
54,7,1,14.29%
55,6,1,16.67%
56,6,1,16.67%
57,6,1,16.67%
58,6,1,16.67%
59,5,0,0.00%
60,4,0,0.00%
61,4,0,0.00%
62,3,0,0.00%
63,2,0,0.00%
64,2,0,0.00%
65,2,0,0.00%
66,1,0,0.00%
67,1,0,0.00%
68,0,0,0.00%
69,0,0,0.00%
70,0,0,0.00%
71,0,0,0.00%
72,0,0,0.00%
73,0,0,0.00%
74,0,0,0.00%
75,0,0,0.00%
76,0,0,0.00%
77,0,0,0.00%
78,0,0,0.00%
79,0,0,0.00%
80,0,0,0.00%
81,0,0,0.00%
82,0,0,0.00%
83,0,0,0.00%
84,0,0,0.00%
85,0,0,0.00%
86,0,0,0.00%
87,0,0,0.00%
88,0,0,0.00%
89,0,0,0.00%
90,0,0,0.00%
91,0,0,0.00%
92,0,0,0.00%
93,0,0,0.00%
94,0,0,0.00%
95,0,0,0.00%
96,0,0,0.00%
97,0,0,0.00%
98,0,0,0.00%
99,0,0,0.00%
100,0,0,0.00%
